strategy,auxiliary_target_count,subset_replicate,shots,contrast,n_simulator_seeds,auc_difference,tpr_at_0_1pct_fpr_difference,actual_fpr_difference,calibrated_tpr_difference
cross_cell_2,2,18,128,affine_minus_mismatched_lira,10,0.007148000000000043,0.003666666666666667,-0.02266666666666667,-0.013666666666666666
cross_cell_2,2,18,512,affine_minus_loss,10,0.01821622222222219,0.0033333333333333335,-0.014,0.0006666666666666678
cross_cell_2,2,18,512,affine_minus_mismatched_lira,10,0.005541999999999991,0.0006666666666666668,-0.011999999999999999,-0.002
cross_cell_2,2,19,1024,affine_minus_loss,10,0.015481333333333402,0.0016666666666666668,-0.012333333333333333,0.013666666666666666
cross_cell_2,2,19,1024,affine_minus_mismatched_lira,10,0.0004733333333333811,-0.0010000000000000002,-0.001333333333333333,0.001666666666666667
cross_cell_2,2,19,128,affine_minus_loss,10,0.007974555555555596,0.002,-0.002333333333333333,0.018333333333333333
cross_cell_2,2,19,128,affine_minus_mismatched_lira,10,0.0033500000000000196,0.0033333333333333335,-0.013666666666666666,-0.004333333333333335
cross_cell_2,2,19,512,affine_minus_loss,10,0.012673777777777784,0.0016666666666666668,-0.010000000000000002,0.019666666666666666
cross_cell_2,2,19,512,affine_minus_mismatched_lira,10,-0.001548222222222173,-0.00033333333333333327,-0.005333333333333332,0.0019999999999999983
cross_cell_2,2,2,1024,affine_minus_loss,10,0.022797111111111212,0.003,-0.043333333333333335,-0.019666666666666666
cross_cell_2,2,2,1024,affine_minus_mismatched_lira,10,0.005059777777777719,0.000666666666666667,0.007666666666666667,0.016666666666666666
cross_cell_2,2,2,128,affine_minus_loss,10,0.010077444444444472,0.004666666666666667,-0.011,0.005999999999999998
cross_cell_2,2,2,128,affine_minus_mismatched_lira,10,0.003688444444444494,0.006,-0.003333333333333335,0.009333333333333332
cross_cell_2,2,2,512,affine_minus_loss,10,0.016434222222222183,0.003666666666666667,-0.03733333333333333,-0.014666666666666668
cross_cell_2,2,2,512,affine_minus_mismatched_lira,10,0.003414444444444442,0.000666666666666667,0.009666666666666667,0.018
cross_cell_2,2,20,1024,affine_minus_loss,10,0.022186222222222274,0.0013333333333333335,-0.047,-0.02366666666666667
cross_cell_2,2,20,1024,affine_minus_mismatched_lira,10,0.004868666666666632,-0.0010000000000000002,-0.003666666666666666,0.004666666666666666
cross_cell_2,2,20,128,affine_minus_loss,10,0.010170555555555627,0.003,-0.018666666666666665,-0.004
cross_cell_2,2,20,128,affine_minus_mismatched_lira,10,0.004992000000000052,0.004666666666666666,-0.011,0.003333333333333334
cross_cell_2,2,20,512,affine_minus_loss,10,0.016936666666666655,0.002333333333333334,-0.04666666666666667,-0.01966666666666667
cross_cell_2,2,20,512,affine_minus_mismatched_lira,10,0.004054888888888886,0.0,-0.006,0.004333333333333334
cross_cell_2,2,21,1024,affine_minus_loss,10,0.0244948888888889,0.001,0.005333333333333334,0.029
cross_cell_2,2,21,1024,affine_minus_mismatched_lira,10,0.007910666666666677,-0.0016666666666666668,-0.0009999999999999992,0.011333333333333334
cross_cell_2,2,21,128,affine_minus_loss,10,0.01111300000000004,0.0003333333333333334,0.005999999999999999,0.021666666666666667
cross_cell_2,2,21,128,affine_minus_mismatched_lira,10,0.004828888888888883,0.0016666666666666668,-0.009666666666666667,0.003999999999999998
cross_cell_2,2,21,512,affine_minus_loss,10,0.018598888888888887,0.0013333333333333333,0.005333333333333334,0.025
cross_cell_2,2,21,512,affine_minus_mismatched_lira,10,0.005328888888888994,0.0,-0.002333333333333333,0.007666666666666667
cross_cell_2,2,22,1024,affine_minus_loss,10,0.025690222222222336,0.0033333333333333335,-0.04133333333333333,-0.01433333333333333
cross_cell_2,2,22,1024,affine_minus_mismatched_lira,10,0.00797866666666669,0.001,0.002333333333333333,0.014666666666666666
cross_cell_2,2,22,128,affine_minus_loss,10,0.013688333333333302,0.006333333333333333,-0.010333333333333333,0.0066666666666666645
cross_cell_2,2,22,128,affine_minus_mismatched_lira,10,0.006442888888888887,0.007333333333333334,-0.002333333333333335,0.011
cross_cell_2,2,22,512,affine_minus_loss,10,0.021512888888888915,0.004,-0.035,-0.010333333333333337
