strategy,auxiliary_target_count,shots,simulator_seed,attack,n_subset_replicates,actual_fpr,calibrated_tpr
cross_cell_8,8,128,3,loss_mia,32,0.013666666666666667,0.011333333333333334
cross_cell_8,8,128,4,affine_channel_lira,32,0.011333333333333334,0.024666666666666667
cross_cell_8,8,128,4,latent_lira_mismatched,32,0.018333333333333333,0.017333333333333333
cross_cell_8,8,128,4,loss_mia,32,0.010666666666666666,0.008333333333333333
cross_cell_8,8,128,5,affine_channel_lira,32,0.015333333333333332,0.02366666666666667
cross_cell_8,8,128,5,latent_lira_mismatched,32,0.019000000000000003,0.02266666666666667
cross_cell_8,8,128,5,loss_mia,32,0.012666666666666666,0.010666666666666666
cross_cell_8,8,128,6,affine_channel_lira,32,0.012666666666666666,0.021333333333333333
cross_cell_8,8,128,6,latent_lira_mismatched,32,0.014,0.020666666666666667
cross_cell_8,8,128,6,loss_mia,32,0.015333333333333332,0.007
cross_cell_8,8,128,7,affine_channel_lira,32,0.011,0.024666666666666667
cross_cell_8,8,128,7,latent_lira_mismatched,32,0.02,0.018333333333333333
cross_cell_8,8,128,7,loss_mia,32,0.012,0.011
cross_cell_8,8,128,8,affine_channel_lira,32,0.01,0.025333333333333333
cross_cell_8,8,128,8,latent_lira_mismatched,32,0.018,0.018
cross_cell_8,8,128,8,loss_mia,32,0.012,0.010666666666666666
cross_cell_8,8,128,9,affine_channel_lira,32,0.007,0.020333333333333335
cross_cell_8,8,128,9,latent_lira_mismatched,32,0.019333333333333334,0.020666666666666667
cross_cell_8,8,128,9,loss_mia,32,0.010666666666666666,0.010666666666666666
cross_cell_8,8,512,0,affine_channel_lira,32,0.010666666666666666,0.024333333333333332
cross_cell_8,8,512,0,latent_lira_mismatched,32,0.015333333333333332,0.019000000000000003
cross_cell_8,8,512,0,loss_mia,32,0.014666666666666666,0.009333333333333334
cross_cell_8,8,512,1,affine_channel_lira,32,0.013333333333333334,0.027000000000000003
cross_cell_8,8,512,1,latent_lira_mismatched,32,0.016666666666666666,0.013000000000000001
cross_cell_8,8,512,1,loss_mia,32,0.012666666666666666,0.011
cross_cell_8,8,512,2,affine_channel_lira,32,0.010333333333333333,0.024666666666666667
cross_cell_8,8,512,2,latent_lira_mismatched,32,0.011333333333333334,0.013666666666666667
cross_cell_8,8,512,2,loss_mia,32,0.013000000000000001,0.010666666666666666
cross_cell_8,8,512,3,affine_channel_lira,32,0.009333333333333334,0.021333333333333333
cross_cell_8,8,512,3,latent_lira_mismatched,32,0.013000000000000001,0.014333333333333333
